train_id,train_station,line,first_station,last_station,planned_departure,actual_departure,delay_minutes,delayed
10053,Köln Hbf,RE22,Köln Messe/Deutz,Kall,2025-08-08 17:21:00,2025-08-08 17:21:00,0,0
31615,Köln Hbf,S6,Köln-Worringen,Düsseldorf Hbf,2025-08-08 17:37:00,2025-08-08 17:38:00,1,1
33233,Köln Hbf,S12,Hennef(Sieg),Horrem,2025-08-08 17:50:00,2025-08-08 17:51:00,1,1
10273,Köln Hbf,RB38,Bedburg(Erft),Köln Messe/Deutz,2025-08-08 17:33:00,2025-08-08 17:33:00,0,0
33749,Köln Hbf,RB27,Mönchengladbach Hbf,Troisdorf,2025-08-08 17:38:00,2025-08-08 17:38:00,0,0
2043,Köln Hbf,IC,Solingen Hbf,Bielefeld Hbf,2025-08-08 17:11:00,2025-08-08 17:11:00,0,0
33228,Köln Hbf,S12,Horrem,Au(Sieg),2025-08-08 17:31:00,2025-08-08 17:31:00,0,0
31613,Köln Hbf,S6,Köln-Worringen,Düsseldorf Hbf,2025-08-08 17:17:00,2025-08-08 17:18:00,1,1
32013,Köln Hbf,S19,Au(Sieg),Düren,2025-08-08 18:00:00,2025-08-08 18:01:00,1,1
31602,Köln Hbf,S6,Düsseldorf Hbf,Köln-Worringen,2025-08-08 17:44:00,2025-08-08 17:44:00,0,0
32009,Köln Hbf,S19,Blankenberg(Sieg),Düren,2025-08-08 17:20:00,2025-08-08 17:21:00,1,1
33225,Köln Hbf,S12,Hennef(Sieg),Horrem,2025-08-08 17:10:00,2025-08-08 17:11:00,1,1
33231,Köln Hbf,S12,Au(Sieg),Horrem,2025-08-08 17:30:00,2025-08-08 17:31:00,1,1
735,Köln Hbf,ICE,Hamburg-Altona,Aachen Hbf,2025-08-08 18:03:00,2025-08-08 18:03:00,0,0
89726,Köln Hbf,RE6,Minden(Westf),Köln/Bonn Flughafen,2025-08-08 17:52:00,2025-08-08 17:52:00,0,0
25430,Köln Hbf,RB26,Mainz Hbf,Köln Messe/Deutz,2025-08-08 17:05:00,2025-08-08 17:45:00,40,1
8,Köln Hbf,EC,Zürich HB,Hamburg-Altona,2025-08-08 17:09:00,2025-08-08 17:42:00,33,1
28525,Köln Hbf,RE5,Oberhausen Hbf,Koblenz Hbf,2025-08-08 17:32:00,2025-08-08 17:44:00,12,1
10439,Köln Hbf,RB24,Köln Messe/Deutz,Euskirchen,2025-08-08 17:12:00,2025-08-08 17:13:00,1,1
26824,Köln Hbf,RE1,Hamm(Westf)Hbf,Aachen Hbf,2025-08-08 17:15:00,2025-08-08 17:30:00,15,1
33748,Köln Hbf,RB27,Troisdorf,Mönchengladbach Hbf,2025-08-08 17:25:00,2025-08-08 17:27:00,2,1
33113,Köln Hbf,S11,Bergisch Gladbach,Düsseldorf Flughafen Terminal,2025-08-08 17:14:00,2025-08-08 17:20:00,6,1
10924,Köln Hbf,RE9,Siegen Hbf,Aachen Hbf,2025-08-08 17:47:00,2025-08-08 17:47:00,0,0
33225,Köln Hbf,S12,Hennef(Sieg),Horrem,2025-08-08 17:10:00,2025-08-08 17:12:00,2,1
17425,Köln Hbf,RE7,Rheine,Krefeld Hbf,2025-08-08 17:41:00,2025-08-08 17:44:00,3,1
31602,Köln Hbf,S6,Düsseldorf Hbf,Köln-Worringen,2025-08-08 17:44:00,2025-08-08 17:46:00,2,1
10440,Köln Hbf,RB24,Kall,Köln Messe/Deutz,2025-08-08 17:15:00,2025-08-08 17:16:00,1,1
10441,Köln Hbf,RB24,Köln Messe/Deutz,Kall,2025-08-08 17:45:00,2025-08-08 17:45:00,0,0
28526,Köln Hbf,RE5,Koblenz Hbf,Oberhausen Hbf,2025-08-08 17:31:00,2025-08-08 17:37:00,6,1
26824,Köln Hbf,RE1,Hamm(Westf)Hbf,Aachen Hbf,2025-08-08 17:15:00,2025-08-08 17:33:00,18,1
33118,Köln Hbf,S11,Düsseldorf Flughafen Terminal,Bergisch Gladbach,2025-08-08 17:47:00,2025-08-08 17:51:00,4,1
8,Köln Hbf,EC,Zürich HB,Hamburg-Altona,2025-08-08 17:09:00,2025-08-08 17:46:00,37,1
89726,Köln Hbf,RE6,Minden(Westf),Köln/Bonn Flughafen,2025-08-08 17:52:00,2025-08-08 17:53:00,1,1
33228,Köln Hbf,S12,Horrem,Au(Sieg),2025-08-08 17:31:00,2025-08-08 17:32:00,1,1
31602,Köln Hbf,S6,Düsseldorf Hbf,Köln-Worringen,2025-08-08 17:44:00,2025-08-08 17:48:00,4,1
10276,Köln Hbf,RB38,Köln Messe/Deutz,Bedburg(Erft),2025-08-08 17:29:00,2025-08-08 17:30:00,1,1
929,Köln Hbf,ICE,Dortmund Hbf,Passau Hbf,2025-08-08 17:53:00,2025-08-08 17:57:00,4,1
25435,Köln Hbf,RB26,Köln Messe/Deutz,Mainz Hbf,2025-08-08 17:56:00,2025-08-08 18:07:00,11,1
25430,Köln Hbf,RB26,Mainz Hbf,Köln Messe/Deutz,2025-08-08 17:05:00,2025-08-08 17:53:00,48,1
33231,Köln Hbf,S12,Au(Sieg),Horrem,2025-08-08 17:30:00,2025-08-08 17:37:00,7,1
26829,Köln Hbf,RE1,Aachen Hbf,Hamm(Westf)Hbf,2025-08-08 17:49:00,2025-08-08 17:49:00,0,0
28525,Köln Hbf,RE5,Oberhausen Hbf,Koblenz Hbf,2025-08-08 17:32:00,2025-08-08 17:45:00,13,1
17426,Köln Hbf,RE7,Krefeld Hbf,Rheine,2025-08-08 17:21:00,2025-08-08 17:34:00,13,1
32011,Köln Hbf,S19,Hennef(Sieg),Düren,2025-08-08 17:40:00,2025-08-08 17:49:00,9,1
10561,Köln Hbf,RB25,Lüdenscheid-Brügge,Köln Hansaring,2025-08-08 17:37:00,2025-08-08 17:40:00,3,1
10566,Köln Hbf,RB25,Köln Hansaring,Lüdenscheid-Brügge,2025-08-08 17:24:00,2025-08-08 17:28:00,4,1
955,Köln Hbf,ICE,Wuppertal Hbf,Berlin Ostbahnhof,2025-08-08 17:45:00,2025-08-08 17:46:00,1,1
2002,Köln Hbf,IC,Düsseldorf Hbf,Emden Hbf,2025-08-08 17:45:00,2025-08-08 17:45:00,0,0
31600,Köln Hbf,S6,Düsseldorf Hbf,Köln-Worringen,2025-08-08 17:24:00,2025-08-08 17:28:00,4,1
613,Köln Hbf,ICE,Kiel Hbf,München Hbf,2025-08-08 17:55:00,2025-08-08 18:42:00,47,1
17425,Köln Hbf,RE7,Rheine,Krefeld Hbf,2025-08-08 17:41:00,2025-08-08 17:43:00,2,1
30698,Köln Hbf,S6,Düsseldorf Hbf,Köln-Worringen,2025-08-08 17:04:00,2025-08-08 17:25:00,21,1
32008,Köln Hbf,S19,Düren,Hennef(Sieg),2025-08-08 17:21:00,2025-08-08 17:24:00,3,1
10053,Köln Hbf,RE22,Köln Messe/Deutz,Kall,2025-08-08 17:21:00,2025-08-08 17:24:00,3,1
10568,Köln Hbf,RB25,Köln Hansaring,Gummersbach,2025-08-08 17:54:00,2025-08-08 17:54:00,0,0
